"ObservationDate","ObservationTime","EntryDateTime","StationNumber","StationName","Latitude","Longitude","TotalPrecipAmt","NewSnowDepth","NewSnowSWE","TotalSnowDepth","TotalSnowSWE","DateTimeStamp"
2025-07-01," 06:00 AM"," 2025-07-01 05:50 AM"," VI-SJ-10"," Cruz Bay 3.1 NNW",18.36111,-64.80611," 0.06"," NA"," NA"," NA"," NA"," 2025-07-01 09:50 AM"
2025-07-01," 06:00 AM"," 2025-07-01 04:08 PM"," VI-SC-23"," Christiansted 6.5 W",17.741,-64.806," 0.00"," 0.0"," NA"," NA"," NA"," 2025-07-01 08:07 PM"
2025-07-01," 07:00 AM"," 2025-07-01 07:06 AM"," VI-SC-20"," Frederiksted 1.7 ESE",17.7032,-64.858," 0.00"," 0.0"," NA"," NA"," NA"," 2025-07-01 11:06 AM"
2025-07-01," 07:00 AM"," 2025-07-01 07:09 AM"," VI-ST-13"," Charlotte Amalie 1.2 NNW",18.3614921876628,-64.9382825445628," T"," NA"," NA"," NA"," NA"," 2025-07-01 11:08 AM"
2025-07-01," 07:00 AM"," 2025-07-01 09:54 AM"," VI-SJ-5"," Cruz Bay 1.6 E",18.32408,-64.757555," 0.33"," NA"," NA"," NA"," NA"," 2025-07-01 01:53 PM"
2025-07-01," 08:00 AM"," 2025-07-01 07:23 AM"," VI-SC-10"," Christiansted 1.6 E",17.7432,-64.68275," 0.00"," 0.0"," NA"," NA"," NA"," 2025-07-01 11:22 AM"
2025-07-01," 08:00 AM"," 2025-07-01 07:51 AM"," VI-SJ-4"," Cruz Bay 0.8 NE",18.3308178,-64.7731037," 0.49"," NA"," NA"," NA"," NA"," 2025-07-01 11:50 AM"
2025-07-01," 08:00 AM"," 2025-07-01 08:16 AM"," VI-ST-15"," Charlotte Amalie West 1.3 N",18.3574,-64.9598," 0.02"," NA"," NA"," NA"," NA"," 2025-07-01 12:16 PM"
2025-07-01," 08:00 AM"," 2025-07-01 09:56 AM"," VI-SC-34"," Frederiksted 1.9 NE",17.730031,-64.859085," 0.00"," 0.0"," NA"," NA"," NA"," 2025-07-01 01:55 PM"
2025-07-01," 08:00 AM"," 2025-07-01 10:17 AM"," VI-SC-24"," Christiansted 2.1 ENE",17.75778,-64.67806," 0.00"," 0.0"," NA"," NA"," NA"," 2025-07-01 02:17 PM"
2025-06-30," 06:00 AM"," 2025-06-30 05:59 AM"," VI-SJ-10"," Cruz Bay 3.1 NNW",18.36111,-64.80611," 0.00"," 0.0"," NA"," NA"," NA"," 2025-06-30 09:58 AM"
2025-06-30," 06:00 AM"," 2025-06-30 03:19 PM"," VI-SC-23"," Christiansted 6.5 W",17.741,-64.806," 0.71"," NA"," NA"," NA"," NA"," 2025-06-30 07:19 PM"
2025-06-30," 07:00 AM"," 2025-06-30 06:59 AM"," VI-ST-13"," Charlotte Amalie 1.2 NNW",18.3614921876628,-64.9382825445628," 0.00"," 0.0"," NA"," NA"," NA"," 2025-06-30 10:59 AM"
