Desktop_Software_Build_Version,1.7
Site_Name,,JH
Site_Number,,JH
Local_Start_Time,,2024-02-26 15:53:21
Local_End_Time,,2024-02-26 16:20:04
Local_Time_UTC_Offset_Hours,Hours,-4.0000
Operator,,David Hensley
Handheld_Serial_Number,,FT2H2345003
Handheld_Software_Version,,1.7
Wading Rod,,TopSetting
Handheld_Units_System,,Metric
Number_Of_Probes,,1
ADV_Serial_Number,,FT2P2342020
ADV_Firmware_Version,,1.30
ADV_Number_Of_Beams,,2
Comment,,
Calculations_Engine,,FlowTracker2
Number_Of_Stations,,14
Discharge_Equation,,MidSection
Rated_Discharge,m³/s,NaN
Rated_Height,m³/s,NaN
Minimum_Boundary_Status,,Best
Total_Width,m,2.6
Total_Area,m²,0.544
Total_Discharge,m³/s,0.003
Mean_Depth,m,0.209
Mean_Velocity_Vx,m/s,0.006
Mean_Velocity_Vy,m/s,-0.001
Mean_Velocity_Vz,m/s,NaN
Mean_SNR,dB,44.65
Mean_VxErr,m/s,0.001
Mean_VyErr,m/s,0.001
Mean_VzErr,m/s,0
Mean_Temp,°C,23.954

Quality_Control_Checks
Station_Spacing,,Pass
Station_Order,,Pass
Water_Depth,,Pass
Boundary_Interference,,Pass
Fractional_Depth,,Pass
Low_SNR,,Pass
Approaching_Low_SNR,,Pass
Beam_SNRs_Similar,,Pass
Large_SNR_Variation,,Pass
SNR_Threshold_Variation,,Pass
Velocity_Standard_Error,,Pass
Percent_Of_Spikes,,Pass
Velocity_Angle,,Pass
Rod_Angle,,Pass
Station_Discharge,,Pass
End_Edge_Location,,Pass
Noise_Level,,Pass
Peak_Location,,Pass
Peak_Shape,,Pass
Pre_Calculation_Validation,,Pass

Discharge_Uncertainty_ISO
Overall,%,7.876
Accuracy,%,1
Depth,%,1.102
Velocity,%,3.47
Width,%,0.393
Method,%,5.891
#_Stations,%,3.593

Discharge_Uncertainty_IVE
Overall,%,67.554
Accuracy,%,1
Depth,%,20.763
Velocity,%,64.275
Width,%,0.386

Supplemental_Data,#,0
