"Plot Title: Adventure"
"#","Date Time, GMT-04:00","Abs Pres, kPa (LGR S/N: 21652379, SEN S/N: 21652379)","Temp, °C (LGR S/N: 21652379, SEN S/N: 21652379)"
1,11/05/24 10:02:30 AM,101.150,24.351
2,11/05/24 10:17:30 AM,101.225,25.125
3,11/05/24 10:32:30 AM,101.215,26.000
4,11/05/24 10:47:30 AM,101.213,27.173
5,11/05/24 11:02:30 AM,101.202,28.456
6,11/05/24 11:17:30 AM,101.212,29.652
7,11/05/24 11:32:30 AM,101.197,30.760
8,11/05/24 11:47:30 AM,101.182,31.880
9,11/05/24 12:02:30 PM,101.154,32.911
10,11/05/24 12:17:30 PM,101.146,33.848
11,11/05/24 12:32:30 PM,101.099,34.585
12,11/05/24 12:47:30 PM,101.069,35.115
13,11/05/24 01:02:30 PM,100.969,32.600
14,11/05/24 01:17:30 PM,100.962,30.255
15,11/05/24 01:32:30 PM,100.746,26.683
16,11/05/24 01:47:30 PM,101.022,24.545
17,11/05/24 02:02:30 PM,100.728,24.738
18,11/05/24 02:17:30 PM,100.893,25.125
19,11/05/24 02:32:30 PM,100.883,27.272
20,11/05/24 02:47:30 PM,100.873,28.555
21,11/05/24 03:02:30 PM,100.856,29.152
22,11/05/24 03:17:30 PM,100.872,29.352
23,11/05/24 03:32:30 PM,100.850,29.352
24,11/05/24 03:47:30 PM,100.856,29.152
25,11/05/24 04:02:30 PM,100.900,29.152
26,11/05/24 04:17:30 PM,101.092,30.154
27,11/05/24 04:32:30 PM,101.129,29.853
28,11/05/24 04:47:30 PM,101.154,29.953
29,11/05/24 05:02:30 PM,101.300,30.054
30,11/05/24 05:17:30 PM,101.296,28.655
31,11/05/24 05:32:30 PM,101.306,27.764
32,11/05/24 05:47:30 PM,101.293,27.272
33,11/05/24 06:02:30 PM,101.291,26.781
34,11/05/24 06:17:30 PM,101.286,26.585
35,11/05/24 06:32:30 PM,101.303,26.390
36,11/05/24 06:47:30 PM,101.311,26.292
37,11/05/24 07:02:30 PM,101.331,26.195
38,11/05/24 07:17:30 PM,101.328,26.097
39,11/05/24 07:32:30 PM,101.339,26.097
40,11/05/24 07:47:30 PM,101.339,26.097
41,11/05/24 08:02:30 PM,101.328,26.097
42,11/05/24 08:17:30 PM,101.328,26.097
43,11/05/24 08:32:30 PM,101.339,26.097
44,11/05/24 08:47:30 PM,101.339,26.097
45,11/05/24 09:02:30 PM,101.350,26.097
46,11/05/24 09:17:30 PM,101.339,26.097
47,11/05/24 09:32:30 PM,101.317,26.097
48,11/05/24 09:47:30 PM,101.328,26.097
49,11/05/24 10:02:30 PM,101.315,26.000
50,11/05/24 10:17:30 PM,101.293,26.000
51,11/05/24 10:32:30 PM,101.323,25.902
52,11/05/24 10:47:30 PM,101.312,25.902
53,11/05/24 11:02:30 PM,101.334,25.902
54,11/05/24 11:17:30 PM,101.323,25.902
55,11/05/24 11:32:30 PM,101.287,25.805
56,11/05/24 11:47:30 PM,101.287,25.805
57,11/06/24 12:02:30 AM,101.265,25.805
58,11/06/24 12:17:30 AM,101.254,25.805
59,11/06/24 12:32:30 AM,101.243,25.805
60,11/06/24 12:47:30 AM,101.243,25.805
61,11/06/24 01:02:30 AM,101.230,25.708
62,11/06/24 01:17:30 AM,101.185,25.708
63,11/06/24 01:32:30 AM,101.183,25.610
64,11/06/24 01:47:30 AM,101.174,25.708
65,11/06/24 02:02:30 AM,101.185,25.708
66,11/06/24 02:17:30 AM,101.163,25.708
67,11/06/24 02:32:30 AM,101.152,25.708
68,11/06/24 02:47:30 AM,101.130,25.708
69,11/06/24 03:02:30 AM,101.108,25.708
70,11/06/24 03:17:30 AM,101.064,25.708
71,11/06/24 03:32:30 AM,101.108,25.708
72,11/06/24 03:47:30 AM,101.075,25.708
73,11/06/24 04:02:30 AM,101.075,25.708
74,11/06/24 04:17:30 AM,101.075,25.708
75,11/06/24 04:32:30 AM,101.072,25.610
76,11/06/24 04:47:30 AM,101.061,25.610
77,11/06/24 05:02:30 AM,101.094,25.610
78,11/06/24 05:17:30 AM,101.103,25.513
79,11/06/24 05:32:30 AM,101.092,25.513
80,11/06/24 05:47:30 AM,101.105,25.610
81,11/06/24 06:02:30 AM,101.127,25.610
82,11/06/24 06:17:30 AM,101.127,25.610
83,11/06/24 06:32:30 AM,101.147,25.513
84,11/06/24 06:47:30 AM,101.169,25.513
85,11/06/24 07:02:30 AM,101.167,25.416
86,11/06/24 07:17:30 AM,101.178,25.416
87,11/06/24 07:32:30 AM,101.189,25.416
88,11/06/24 07:47:30 AM,101.189,25.416
89,11/06/24 08:02:30 AM,101.202,25.513
90,11/06/24 08:17:30 AM,101.205,25.610
91,11/06/24 08:32:30 AM,101.216,25.610
92,11/06/24 08:47:30 AM,101.230,25.708
93,11/06/24 09:02:30 AM,101.254,25.805
94,11/06/24 09:17:30 AM,101.243,25.805
95,11/06/24 09:32:30 AM,101.243,25.805
96,11/06/24 09:47:30 AM,101.243,25.805
97,11/06/24 10:02:30 AM,101.232,25.805
98,11/06/24 10:17:30 AM,101.215,26.000
99,11/06/24 10:32:30 AM,101.215,26.000
100,11/06/24 10:47:30 AM,101.198,26.195
101,11/06/24 11:02:30 AM,101.214,26.390
102,11/06/24 11:17:30 AM,101.181,26.390
103,11/06/24 11:32:30 AM,101.159,26.390
104,11/06/24 11:47:30 AM,101.117,26.488
105,11/06/24 12:02:30 PM,101.142,26.585
106,11/06/24 12:17:30 PM,101.131,26.585
107,11/06/24 12:32:30 PM,101.068,26.292
108,11/06/24 12:47:30 PM,101.085,26.097
109,11/06/24 01:02:30 PM,101.049,26.000
110,11/06/24 01:17:30 PM,101.011,25.805
111,11/06/24 01:32:30 PM,101.022,25.805
112,11/06/24 01:47:30 PM,101.019,25.708
113,11/06/24 02:02:30 PM,100.964,25.708
114,11/06/24 02:17:30 PM,100.942,25.708
115,11/06/24 02:32:30 PM,100.920,25.708
116,11/06/24 02:47:30 PM,100.931,25.708
117,11/06/24 03:02:30 PM,100.931,25.708
118,11/06/24 03:17:30 PM,100.917,25.610
119,11/06/24 03:32:30 PM,100.881,25.513
120,11/06/24 03:47:30 PM,100.879,25.416
121,11/06/24 04:02:30 PM,100.904,25.513
122,11/06/24 04:17:30 PM,100.904,25.513
123,11/06/24 04:32:30 PM,100.950,25.610
124,11/06/24 04:47:30 PM,100.950,25.610
125,11/06/24 05:02:30 PM,100.975,25.708
126,11/06/24 05:17:30 PM,100.975,25.708
127,11/06/24 05:32:30 PM,100.986,25.708
128,11/06/24 05:47:30 PM,100.953,25.708
